ut,mission,design,trajectory,body,body_mu,body_radius,mass,thrust,available_thrust,isp,altitude,speed,g_force,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,apoapsis_altitude,periapsis_altitude,semi_major_axis,stage
7864.963593751396,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926454780158,174.9655732499361,0.9948606491088867,-502308.8522458277,-1019.9880761914301,328299.5432084417,-95.72089613008724,-4.142517614128557e-05,-146.4597619372983,79.83926465106197,-598435.221839742,300822.3087124545,1
7865.483593751407,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926218131091,174.965588294089,0.9948230981826782,-502362.45020020474,-1019.9880758338022,328217.5219912813,-95.69863933449417,-8.515875812277276e-05,-146.47432374520733,79.83926217979752,-598435.2215699633,300822.30884610827,1
7866.0035937514185,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926506759599,174.96555570928962,0.9948934316635132,-502412.2077413079,-1019.9880746417093,328141.35159900493,-95.67656704298624,6.0631082174392626e-05,-146.4887033307545,79.83926518249791,-598435.2221543024,300822.30855544005,1
7866.54359375143,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926611021161,174.96553726558992,0.9949033260345459,-502463.86680793314,-1019.9880741648722,328062.2435916527,-95.6535212241474,8.554654712441531e-05,-146.50373069669865,79.83926598669495,-598435.2224850558,300822.30839046545,1
7867.063593751442,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926454803441,174.96555512465306,0.9948471784591675,-502513.60080135317,-1019.9880758338022,327986.05782220257,-95.63121517659775,-1.914448678733688e-05,-146.51831340799995,79.83926437236369,-598435.2221647904,300822.308549791,1
7867.603593751453,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926122216508,174.96508131959615,0.9948513507843018,-502565.2353824271,-1019.9881034903574,327906.9338959586,-95.60777753130131,-0.0003734570973793079,-146.53304254180566,79.83926110365428,-598435.2306617021,300822.3042997008,1
7868.123593751465,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926180272829,174.9653447453836,0.994875431060791,-502614.94583382196,-1019.9881676249552,327830.73275254853,-95.58573041936324,-0.00013429115506318818,-146.5477396688523,79.83926162857097,-598435.225937605,300822.3066620118,1
7868.643593751476,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926175301895,174.96547084861797,0.9948709011077881,-502664.6447268935,-1019.9882225804377,327754.5240786511,-95.56358957514044,-0.00010454861987585823,-146.56232918721562,79.83926171436906,-598435.2236761545,300822.30779277993,1
7869.1635937514875,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926184556913,174.96549886651874,0.994866669178009,-502714.33206675714,-1019.9882805161524,327678.30786779936,-95.54137282018505,-9.730183534825663e-05,-146.57684630675718,79.83926162973512,-598435.2231737007,300822.3080439645,1
7869.703593751499,phase0-forces,E,nominal,Kerbin,3531599999999.9995,600000.0,87876.0,0.0,0.0,0.0,79.83926163846627,174.96550298840174,0.9948850870132446,-502765.9182269077,-1019.9883398823786,327599.1522905923,-95.51831767368466,-9.532453637264564e-05,-146.59187639417263,79.83926159248222,-598435.2230997817,300822.3080809054,1
