ut,mission,design,trajectory,body,body_mu,body_radius,mass,thrust,available_thrust,isp,altitude,speed,g_force,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,apoapsis_altitude,periapsis_altitude,semi_major_axis,stage
341.6999999999792,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8630.0,0.0,0.0,0.0,76.1100333792856,174.9644935761987,0.994894802570343,559650.9625636243,-1018.0677963867718,216520.4412344553,-63.130983783718186,1.0142161512359827e-05,163.1779792094371,76.11003354156855,-598435.2606757031,300820.42467891925,2
342.2199999999787,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8630.0,0.0,0.0,0.0,76.11003339104354,174.96448758056175,0.9948825836181641,559618.1279798812,-1018.0677961446279,216605.2912720788,-63.15571294698195,7.853267352492952e-06,163.16840330311166,76.11003336624708,-598435.2607832239,300820.4246250712,2
342.73999999997824,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8630.0,0.0,0.0,0.0,76.11000810877886,174.96427976520187,0.9946398138999939,559585.2805097951,-1018.0677942065456,216690.13631728673,-63.18126880030083,0.0001325076148134865,163.15828653955154,76.11000821401831,-598435.2645101442,300820.4227490349,2
343.27999999997775,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8630.0,0.0,0.0,0.0,76.10993705724832,174.94987983769659,0.9948385953903198,559551.1574674984,-1018.0607915278458,216778.23563771063,-63.2008289057357,0.025835765089624218,163.1352660014555,76.10993708460592,-598435.5227333802,300820.2936018522,2
343.81999999997726,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8630.0,0.0,0.0,0.0,76.10999159142375,174.93820812022227,0.9949779510498047,559517.0235707054,-1018.0387590117687,216866.32222247927,-63.221860976751934,0.05352753307071489,163.11459189708827,76.10999159771018,-598435.7320173463,300820.1889871257,2
344.3399999999768,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8630.0,0.0,0.0,0.0,76.10990956949536,174.9499570093443,0.9947603940963745,559484.1406747926,-1018.0066207908028,216951.14122795206,-63.25139717636133,0.06904025128852107,163.11573635383348,76.10990958323237,-598435.5213497214,300820.29427993094,2
344.8799999999763,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8625.681640625,153653.0625,153653.0625,290.2335510253906,76.14144944923464,174.96970161707017,1.1587928533554077,559450.0056580689,-1017.9587188847297,217039.23715792206,-62.685053418107884,0.14634137722445023,163.35531563477463,76.1625678059645,-598435.1882327719,300820.487167517,1
345.3999999999758,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8597.6083984375,153655.28125,153655.421875,290.23773193359375,77.607545027975,175.06868752254476,1.8201888799667358,559418.4558209425,-1017.7888158745998,217124.59664856715,-58.80750327620035,0.5030871164441872,164.8953298691002,78.80802084389143,-598434.584249467,300822.11188568844,1
345.91999999997535,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8569.5361328125,153661.21875,153661.53125,290.2489929199219,81.26444696739782,175.29807528339506,1.826016902923584,559388.927127118,-1017.4288194663757,217210.76627653738,-54.91266172921998,0.8576984551334806,166.47305828041715,85.47830228426028,-598433.4596275863,300826.009337349,1
346.4199999999749,phase0-forces,A,nominal,Kerbin,3531599999999.9995,600000.0,8542.544921875,153670.53125,153670.984375,290.2665710449219,86.86200172395911,175.6544101602467,1.831546664237976,559362.4479706825,-1016.9320773966544,217294.40765116678,-51.15318307211023,1.0966758393954033,168.03755821969875,95.74288558436092,-598431.688042363,300832.02742161066,1
