ut,mission,design,trajectory,body,body_mu,body_radius,mass,thrust,available_thrust,isp,altitude,speed,g_force,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,apoapsis_altitude,periapsis_altitude,semi_major_axis,stage
7904.883593752267,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526719294488,174.9652790312823,0.9948728084564209,-506093.17789433943,-1016.0416245467841,322433.41558929754,-94.00962163834825,-2.357774435989135e-05,-147.56369791266806,78.86526732053608,-598435.2322022853,300821.8165325176,1
7905.423593752279,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526766116731,174.96528337061886,0.9948785305023193,-506149.57747083466,-1016.0416247852027,322344.8734297416,-93.98637960544741,-1.4439142593374698e-05,-147.5784904165288,78.86526773683727,-598435.2321244647,300821.81657163607,1
7905.94359375229,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526769539341,174.9652769911979,0.9948761463165283,-506198.4445732017,-1016.0416245467841,322268.12891139765,-93.96400365542907,-1.0397837744030427e-05,-147.59273074799114,78.86526748235337,-598435.2322388698,300821.8165143063,1
7906.483593752302,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.8652676838683,174.9652802517559,0.9948744177818298,-506249.1788633221,-1016.0416245467841,322188.42483953456,-93.94076040753284,-1.6031575796812105e-05,-147.60752971183325,78.86526763334405,-598435.2321803966,300821.8165436184,1
7907.0035937523135,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526766081806,174.96529465318196,0.9948769211769104,-506298.02224440704,-1016.0416245467841,322111.6652214609,-93.9183880876273,-1.8383660722312827e-05,-147.6217826477389,78.86526766850147,-598435.2319221321,300821.8166727682,1
7907.523593752325,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526764964219,174.96528063999403,0.994875967502594,-506346.8539868565,-1016.0416247852027,322034.8981988438,-93.8959955469719,-1.1919133475468939e-05,-147.63601000323317,78.8652675965568,-598435.2321734345,300821.81654708105,1
7908.043593752336,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526764393784,174.965281701426,0.9948768615722656,-506395.6740895584,-1016.0416247852027,321958.123773421,-93.8736133059121,-1.2778576594185582e-05,-147.65024390684653,78.86526756407693,-598435.2321543997,300821.81655658217,1
7908.5635937523475,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526719341055,174.96527430438215,0.9948750138282776,-506444.4825509136,-1016.0416247852027,321881.34194686793,-93.85121995602204,-1.3644315554336259e-05,-147.66447008395036,78.865267385263,-598435.2322870537,300821.8164901658,1
7909.103593752359,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526769574266,174.96527630847925,0.9948802590370178,-506495.1559393966,-1016.0416247852027,321801.5991419377,-93.82798019729657,-7.226511478607643e-06,-147.6792404022927,78.86526771087665,-598435.2322511119,300821.8165082995,1
7909.623593752371,phase0-forces,D,nominal,Kerbin,3531599999999.9995,600000.0,66322.0,0.0,0.0,0.0,78.86526766698807,174.9652814470164,0.9948771595954895,-506543.9406683649,-1016.0416247852027,321724.80223400774,-93.8055879224818,-1.7606010936065476e-05,-147.69347103494755,78.8652675547637,-598435.2321589622,300821.8165542963,1
