mission_time_s,altitude_m,surface_speed_ms,orbital_speed_ms,vertical_speed_ms,horizontal_speed_ms,pitch_deg,dynamic_pressure_pa,total_mass_kg,thrust_kn,twr,isp_s,current_stage_deltav_ms,total_remaining_deltav_ms,apoapsis_m,periapsis_m
0.02,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.26
0.54,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.25
0.76,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.23
0.98,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.25
1.2,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.25
1.44,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.24
1.58,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.27
1.8,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.25
2.04,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.25
2.26,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.25
2.48,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.26
2.7,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.22
2.9,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.25
3.12,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.23
3.34,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.26
3.56,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.28
3.78,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.23
4.0,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.3
4.22,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.22
4.44,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.26
4.66,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.26
4.86,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.2
5.08,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.28
5.3,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.22
5.52,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.31
5.72,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.21
5.94,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.27
6.16,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.26
6.38,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.2
6.6,77.44,0.0,0.0,0.0,0.0,89.98,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.27
6.82,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.22
7.04,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.3
7.26,77.44,0.0,0.0,0.0,0.0,89.97,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.22
7.48,77.44,0.0,0.0,0.0,0.0,89.96,0.0,58587000.0,0.0,0.0,0.0,3152.88,3152.88,77.44,-598435.29
7.62,77.45,0.0,0.0,0.0,0.0,89.97,0.03,58567332.03,872.23,0.002,233.7,3152.88,3152.88,77.45,-598435.28
